accuracy,precision,recall,predicted tile,total size
0.88,0.9411764705882353,0.41025641025641024,4.875,1.5493528842926025
0.795,0.45454545454545453,0.39473684210526316,4.75,1.4356346130371094
0.875,0.6666666666666666,0.717948717948718,4.875,1.7660000324249268
0.675,0.037037037037037035,0.025,5.0,1.8839576244354248
0.685,0.07692307692307693,0.04878048780487805,5.125,1.7086515426635742
0.82,0.5714285714285714,0.5714285714285714,5.25,1.7212636470794678
0.855,0.6842105263157895,0.6046511627906976,5.375,1.7476391792297363
0.75,0.4117647058823529,0.3181818181818182,5.5,1.5870661735534668
0.795,0.5714285714285714,0.35555555555555557,5.625,1.5100080966949463
0.815,0.68,0.3695652173913043,5.75,1.5630004405975342
0.665,0.08333333333333333,0.0425531914893617,5.875,1.8060126304626465
0.83,0.7692307692307693,0.4166666666666667,6.0,1.9030108451843262
0.685,0.23076923076923078,0.12244897959183673,6.125,1.8729186058044434
0.82,0.6842105263157895,0.52,6.25,2.0330216884613037
0.735,0.45,0.17647058823529413,6.375,2.0130066871643066
0.84,0.8125,0.5,6.5,1.784820556640625
0.835,1.0,0.37735849056603776,6.625,1.938310146331787
