accuracy,precision,recall,predicted tile,total size
0.795,0.47368421052631576,0.46153846153846156,4.875,2.617799758911133
0.76,0.35714285714285715,0.25,5.0,2.9904632568359375
0.755,0.39473684210526316,0.36585365853658536,5.125,3.076018810272217
0.81,0.5416666666666666,0.6190476190476191,5.25,2.9400322437286377
0.785,0.5,0.37209302325581395,5.375,2.7115302085876465
0.89,0.84375,0.6136363636363636,5.5,2.5199999809265137
0.915,1.0,0.6222222222222222,5.625,2.481039047241211
0.655,0.125,0.08888888888888889,5.625,2.65040922164917
0.69,0.3,0.2608695652173913,5.75,2.592198610305786
0.725,0.4,0.3404255319148936,5.875,2.6110384464263916
0.9,0.8333333333333334,0.7291666666666666,6.0,3.018193244934082
0.755,0.5,0.2653061224489796,6.125,3.1961517333984375
0.66,0.15384615384615385,0.08,6.25,2.64204478263855
0.665,0.23333333333333334,0.13725490196078433,6.375,2.81441593170166
0.77,0.6363636363636364,0.2692307692307692,6.5,3.2417373657226562
